depth_top	depth_bottom	density	Pbex	Pbex_er	Cs	Cs_er	Am	Am_er
0	8	1.093287995	515.5595095	15.06006138	64.06298714	1.570104577		
8	16	1.079754411	409.5679163	13.00761916	72.94562125	1.563020468	1.739521663	0.453661628
16	24	1.003515224	333.5160509	13.06559907	75.24023521	1.681771021	1.007893611	0.469997902
24	35	0.944786594	417.3137602	12.28193525	77.65794334	1.491941052	1.594214779	0.425624971
35	43	1.388320117	322.7128875	11.03859722	67.79735061	1.403270158	0.890199699	0.377621527
43	52	0.870480097	423.5756864	13.75782051	111.177419	1.948776815	1.246572144	0.486821166
52	60	1.102896839	357.6319037	12.03709236	122.4329239	1.921892841		
60	69	1.013715536						
69	79	1.179279324	291.9273762	11.95027138	117.6114919	1.977322995	2.326398917	0.482587642
79	88	0.752573394	225.1288507	11.36491929	130.0859809	2.08069275	2.16158689	0.482659764
88	96	0.853007179	209.5325839	10.61346335	144.5845284	2.110304108	1.865197007	0.462898517
96	104	0.953440964						
104	114	1.23749189	244.9892355	11.13849532	253.8416011	2.743503864	2.648469121	0.487987256
114	123	1.158899339	202.4565893	11.12955812	361.7452256	3.43875755	2.370502268	0.521855976
123	146	0.761722473	192.4752035	10.88967837	242.5072511	2.718310288	3.037378593	0.512932157
146	174	0.891240185	188.2814971	11.01003971	137.1938851	2.17503964	2.144601788	0.500202794
174	180	1.499521062	177.5068796	10.27701024	165.9999818	2.238444121	3.127658063	0.489524282
180	185	0.953440964	160.3323422	10.30924815	202.6791251	2.488200902	3.936923511	0.526613732
185	193	1.178524509	125.4201988	9.348722795	212.8117854	2.508649286	5.47682318	0.543702004
193	202	1.469906397	97.9720788	8.975502277	167.6927576	2.286343242	4.256498637	0.518020269
202	209	1.414054432	95.85281247	8.993817136	73.07443249	1.534321497	2.419624355	0.443644391
209	220	1.158854646	89.0716934	4.918861886	57.93663746	0.779374807	1.706666233	0.249929533
220	230	1.349749404	78.4281659	8.521276343	23.83872563	0.930883312	1.52667006	0.424400574
230	237	0.953440964	61.8719095	5.665924914	27.16551972	0.674693113	0.8671752	0.278346167
237	243	1.028101234	61.97250172	5.389182891	14.39223957	0.498664615	1.14399853	0.260305044
243	280	0.953440964	37.54917031	6.734487865				
280	295	1.074093936	40.70621203	7.112012241				
295	305	1.960339584	30.28232744	4.250025885				
305	315	1.243371141	29.51857922	7.224542728				
315	324	1.206018823						
324	335	0.953440964	12.59393833	6.647940379				
335	342	1.187346401						
342	354	1.106746392						
354	365	1.106746392						
