depth_top	depth_bottom	density	Pbex	Pbex_er	Cs	Cs_er	Am	Am_er
0	5	0.119972011	952.3173853	26.90153405	55.30005609	2.02196989		
5	10	0.126555841	908.8231711	23.68023741	59.7384425	1.883591339		
10	15	0.094368228	651.1035425	8.448159738	72.30570117	0.845439651	1.003684199	0.2198744
15	20	0.072422129						
20	25	0.120703548	502.9463299	18.5002832	63.06588379	1.900518493	1.470003856	0.516487841
25	30	0.096562838						
30	35	0.100952058	571.6557055	19.08223536	80.41670678	2.10563373	1.048353805	0.550480755
35	40	0.133139671	455.3144868	18.40720039	101.99674	2.477708682	1.06662964	0.564407354
40	46.5	0.146870051	298.854645	15.53086509	109.8716641	2.444862718	0.962950725	0.529535351
46.5	52	0.186874363						
52	57	0.166790357	282.2732931	13.7033205	227.549489	3.186151653		
57	62	0.095831302	382.5141055	16.89603049	994.1529635	6.966998271		
62	67	0.122166621	297.210078	15.36714622	237.4437524	3.525898336		
67	73.5	0.132802039	321.5578552	16.14681421	125.2429439	2.650613367	1.964802102	0.598790864
73.5	81	0.117045864	282.3112097	14.60756464	184.3397636	2.988028671	2.741743232	0.606107431
81	87	0.118265092						
87	92.5	0.115050765	221.2677123	15.88799231	295.9350064	4.234418133	5.357503369	0.737901324
92.5	100	0.125824304	236.182174	8.107575956	98.02572292	1.307537299	1.419476341	0.324935331
100	105	0.188736457	189.4785733	13.11504594	41.0423096	1.496920096		
105	110	0.141918111	154.9864233	5.760955174	21.05374008	0.504124186	0.717754987	0.224613045
110	115	0.136797354	123.1894093	7.09335929	15.67009882	0.580770193	0.775040681	0.296817983
115	120	0.164595747	111.1855504	7.004721188	11.79856464	0.522053282		
120	125	0.180689553	81.59191194	11.35884025	8.44201568	0.783905772		
125	130	0.163132674	93.84255956	11.20713197	9.402701338	0.785297755	1.336067605	0.49330853
130	138	0.162766905	98.76811232	6.557808231	10.86992779	0.486948008		
138	144	0.200562966	63.99294579	10.23791101	10.35844589	0.797958595		
144	152	0.144021279	81.92182014	10.74940248	9.954803415	0.815805201	1.781550376	0.475312016
152	162	0.164595747	38.54301021	9.965514645	5.424305691	0.639253642		
162	170	0.215803313	57.32509897	10.30330934	4.069455611	0.594858113		
170	175	0.200441043	30.80416375	5.426785163	2.557940598	0.29823358		
175	182	0.179749006	33.15609863	10.49389703	3.299765347	0.588223476		
182	186	0.269754141	25.31919182	9.274898453	4.955513008	0.613733368		
186	195	0.145494512						
195	200	0.215803313						
200	205	0.233360192						
205	210	0.245064779	34.43924983	5.110979072	2.517979918	0.278245306	0.835067827	0.246031557
