"depth_avg_mm" "BestAD" "MinAD" "MaxAD" "SAR_mm.yr" "SAR_err_mm.yr"
0 2022 2022 2022 1.68079612287686 0.0664780981179571
5 2019.02521922085 2018.90756201911 2019.14287642259 1.68079612287686 0.0664780981179571
10 2016.0504384417 2015.81512403822 2016.28575284519 1.68079612287686 0.0664780981179571
15 2013.07565766256 2012.72268605733 2013.42862926778 1.68079612287686 0.0664780981179571
20 2010.10087688341 2009.63024807644 2010.57150569038 1.68079612287686 0.0664780981179571
25 2007.12609610426 2006.53781009555 2007.71438211297 1.68079612287686 0.0664780981179571
30 2004.15131532511 2003.44537211467 2004.85725853556 1.68079612287686 0.0664780981179571
35 2001.17653454597 2000.35293413378 2002.00013495816 1.68079612287686 0.0664780981179571
40 1998.20175376682 1997.26049615289 1999.14301138075 1.68079612287686 0.0664780981179571
45 1995.22697298767 1994.168058172 1996.28588780334 1.68079612287686 0.0664780981179571
50 1992.25219220852 1991.07562019111 1993.42876422594 1.68079612287686 0.0664780981179571
55 1989.27741142938 1987.98318221022 1990.57164064853 1.68079612287686 0.0664780981179571
60 1986.30263065023 1984.89074422933 1987.71451707113 1.68079612287686 0.0664780981179571
65 1983.32784987108 1981.79830624844 1984.85739349372 1.68079612287686 0.0664780981179571
70 1980.35306909193 1978.70586826755 1982.00026991631 1.68079612287686 0.0664780981179571
75 1977.37828831278 1975.61343028666 1979.14314633891 1.68079612287686 0.0664780981179571
80 1974.40350753364 1972.52099230577 1976.2860227615 1.68079612287686 0.0664780981179571
85 1971.42872675449 1969.42855432488 1973.42889918409 1.68079612287686 0.0664780981179571
90 1968.45394597534 1966.336116344 1970.57177560669 1.68079612287686 0.0664780981179571
95 1965.47916519619 1963.24367836311 1967.71465202928 1.68079612287686 0.0664780981179571
100 1962.50438441705 1960.15124038222 1964.85752845188 1.68079612287686 0.0664780981179571
105 1959.5296036379 1957.05880240133 1962.00040487447 1.68079612287686 0.0664780981179571
110 1956.55482285875 1953.96636442044 1959.14328129706 1.68079612287686 0.0664780981179571
115 1953.5800420796 1950.87392643955 1956.28615771966 1.68079612287686 0.0664780981179571
120 1950.60526130046 1947.78148845866 1953.42903414225 1.68079612287686 0.0664780981179571
125 1947.63048052131 1944.68905047777 1950.57191056484 1.68079612287686 0.0664780981179571
130 1944.65569974216 1941.59661249688 1947.71478698744 1.68079612287686 0.0664780981179571
135 1941.68091896301 1938.50417451599 1944.85766341003 1.68079612287686 0.0664780981179571
140 1938.70613818387 1935.4117365351 1942.00053983263 1.68079612287686 0.0664780981179571
145 1935.73135740472 1932.31929855422 1939.14341625522 1.68079612287686 0.0664780981179571
150 1932.75657662557 1929.22686057333 1936.28629267781 1.68079612287686 0.0664780981179571
155 1929.78179584642 1926.13442259244 1933.42916910041 1.68079612287686 0.0664780981179571
160 1926.80701506727 1923.04198461155 1930.572045523 1.68079612287686 0.0664780981179571
165 1923.83223428813 1919.94954663066 1927.7149219456 1.68079612287686 0.0664780981179571
170 1920.85745350898 1916.85710864977 1924.85779836819 1.68079612287686 0.0664780981179571
175 1917.88267272983 1913.76467066888 1922.00067479078 1.68079612287686 0.0664780981179571
180 1914.90789195068 1910.67223268799 1919.14355121338 1.68079612287686 0.0664780981179571
185 1911.93311117154 1907.5797947071 1916.28642763597 1.68079612287686 0.0664780981179571
190 1908.95833039239 1904.48735672621 1913.42930405856 1.68079612287686 0.0664780981179571
195 1905.98354961324 1901.39491874532 1910.57218048116 1.68079612287686 0.0664780981179571
200 1903.00876883409 1898.30248076443 1907.71505690375 1.68079612287686 0.0664780981179571
205 1900.03398805495 1895.21004278355 1904.85793332635 1.68079612287686 0.0664780981179571
